claim_id,label,claim,edge_score,node_score,verified_edges,kg_edges
3016,NOT ENOUGH INFO,Shinji Mikami directed Halo.,0.0,1.0,[],[]
1702,NOT ENOUGH INFO,Lost received thousands of award nominations.,0.0,0.35430046916007996,[],[]
4863,SUPPORTS,Janelle Monáe's full name is Janelle Monáe Robinson.,0.0,0.6552485674619675,[],[]
3450,NOT ENOUGH INFO,Bethany Hamilton wrote a book of personal essays.,0.0,0.5637791827321053,[],[]
369,REFUTES,The State of Palestine claims a territory in Western Asia.,0.0,0.4449484050273895,[],[]
4819,REFUTES,English people are unconnected to the Romans.,0.0,0.8985976576805115,[],[]
3583,SUPPORTS,Robert Palmer (writer) has written for the New York Times.,0.0,0.4223867952823639,[],[]
1180,REFUTES,Renato Balestra refused to study for an engineering degree.,0.0,0.8568370342254639,[],[]
1831,REFUTES,DNA is a single.,0.0,0.5,[],[]
2416,SUPPORTS,Wales' population rapidly expanded.,0.0,0.9999999701976776,[],[]
12,REFUTES,Carlos Santana disbanded Santana in 1965.,0.0,0.9540675282478333,[],[]
4273,SUPPORTS,Sleipnir appears in Norse mythology.,0.0,1.0,[],[]
1621,NOT ENOUGH INFO,Angelsberg is not adjacent to a lake.,0.0,1.0,[],[]
1035,SUPPORTS,Anushka Sharma is an actress.,0.0,0.6963624358177185,[],[]
2699,SUPPORTS,A River Runs Through It has won an Academy Award.,0.0,0.9520348608493805,[],[]
2145,NOT ENOUGH INFO,Youtube has been ranked by Google Analytics.,0.0,0.6386865079402924,[],[]
4179,SUPPORTS,The 14th Dalai Lama fled to India during the Tibetan uprising.,0.0,0.8178523182868958,[],[]
4958,SUPPORTS,"John Dolmayan was born on July 15, 1973.",1.0,0.9111416339874268,"[{'head': 'John Dolmayan', 'type': 'date of birth', 'tail': 'July 15, 1973'}]","[{'head': 'John Dolmayan', 'type': 'date of birth', 'tail': 'July 15, 1972'}]"
3305,REFUTES,Julianne Moore was not in the television series As the World Turns.,0.0,1.0,[],[]
2406,SUPPORTS,Derek Hough starred in a movie.,0.0,0.1826709508895874,[],[]
3682,REFUTES,English people are disconnected from the Jutes and Frisians.,0.0,0.1667923480272293,[],[]
2466,REFUTES,Cheese in the Trap (TV series) stars Batman.,0.0,0.9420875310897827,[],[]
2948,REFUTES,The Mod Squad is an American movie.,0.0,0.8162728846073151,[],[]
3059,SUPPORTS,Alexandra Daddario was born in 1986.,0.0,0.9066368341445923,[],[]
3119,REFUTES,The University of Illinois at Chicago is located in Jamaica.,0.0,0.4891466796398163,[],[]
97,SUPPORTS,Craig David is a pop music performer.,0.0,0.5,[],[]
1077,SUPPORTS,The Good Wife is a TV show.,0.0,0.9921872019767761,[],[]
3923,NOT ENOUGH INFO,Pirates of the Caribbean was made in Tokyo Disneyland in 1963.,0.0,1.0,[],[]
2704,NOT ENOUGH INFO,Starrcade was regarded by the NWA and WCW as their flagship event of the year since 1998.,0.0,1.0,[],[]
3019,REFUTES,The horse was domesticated on a broad scale by 3103 BC.,0.0,0.8318306803703308,[],[]
2421,REFUTES,"Beaverton, Oregon's city center is in the Grand Canyon.",0.0,0.9393922090530396,[],[]
422,REFUTES,John Krasinski is an astronaut.,0.0,0.4093644618988037,[],[]
2371,SUPPORTS,Guillermo del Toro works in the film industry.,0.0,0.8931601941585541,[],[]
2414,SUPPORTS,The dress inspired hashtags.,0.0,0.3131465017795563,[],[]
1398,NOT ENOUGH INFO,Nestor Carbonell cried in one of ABC's drama series.,0.0,0.8789232671260834,[],[]
70,SUPPORTS,David Packouz was born in February of 1982.,1.0,0.40573960542678833,"[{'head': 'David Packouz', 'type': 'date of birth', 'tail': 'February of 1982'}]","[{'head': 'David Mordechai Packouz', 'type': 'date of birth', 'tail': 'February 17, 1982'}]"
